run_id,world_half_cm,thickness_nm,backing_thickness_um,density_g_cm3,E_keV,N_injected,N_uncollided,N_trans_total,T_counts,mu_counts_per_mm,mu_counts_cm2_g,mu_calc_per_mm,mu_calc_cm2_g,mu_tr_per_mm,mu_tr_cm2_g,mu_ref_cm2_g,mu_en_ref_cm2_g,delta_mu_percent,delta_mu_en_percent,sigma_T_counts,sigma_mu_counts_cm2_g,mu_en_cpe_per_mm,mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,absorbed_fraction,mu_en_per_mm,mu_en_cm2_g,mu_en_raw_per_mm,mu_en_raw_cm2_g,mu_eff_per_mm,mu_eff_cm2_g,E_trans_unc_keV,E_trans_tot_keV,E_abs_keV,T_energy_tot,score_mu,score_muen,score
203,50.0,500.0,0.0,19.3,10.0,200000.0,182132.0,182132.0,0.91066,187.17133526,96.979966457,183.57779636,95.1180292,178.36413962,92.416652655,96.91,92.04,0.072197354504,-96.271197396,0.00063780233772,0.72577588232,177.76544936,92.106450445,0.072197354504,0.00331187027,177.76544936,92.106450445,6.62374054,3.4319899171,6.6347333025,3.4376856489,1821320.0,1821320.0,6623.74054,0.91066,0.072197354504,0.072197354504,0.072197354504
17,50.0,100.0,50.0,19.3,10.2068,200000.0,196515.0,196515.0,0.982575,175.78602274,91.080840799,173.57232653,89.93384794,169.01189167,87.570928325,92.010000008,87.240000006,-1.0098458956,-96.238875497,0.0002925864776,1.5428767391,166.67289016,86.359010447,-1.0098458956,0.00063327256828,166.67289016,86.359010447,6.3327256828,3.281205017,6.3347317005,3.2822444044,2005789.302,2005789.302,1292.73729,0.982575,1.0098458956,1.0098458956,1.0098458956
418,50.0,10000.0,50.0,19.3,10.8548,200000.0,4351.0,4351.0,0.021755,382.79116628,198.33739186,383.16688113,198.53206276,377.43215428,195.5607017,198.3,168.4,0.01885620562,-98.608776042,0.00032620331064,0.7769122473,325.07328493,168.43175385,0.01885620562,0.045216448106,325.07328493,168.43175385,4.5216448106,2.3428211454,4.6270611421,2.3974410063,47229.2348,47229.2348,98163.10018,0.021755,0.01885620562,0.01885620562,0.01885620562
219,50.0,1000.0,50.0,19.3,11.544,200000.0,144382.0,144382.0,0.72191,325.8548016,168.83668477,325.20261799,168.4987658,319.96487398,165.7849088,168.9,144.4,-0.03748681771,-95.952941531,0.0010018880973,0.71908271638,278.58752724,144.34586904,-0.03748681771,0.011278828188,278.58752724,144.34586904,11.278828188,5.8439524289,11.34291652,5.8771588188,1666745.808,1666745.808,26040.55852,0.72191,0.03748681771,0.03748681771,0.03748681771
70,50.0,150.0,50.0,19.3,11.8186,200000.0,187613.0,187613.0,0.938065,426.24024001,220.84986529,421.74132033,218.51881883,416.19842848,215.64685413,226.8,179.7,-2.623516184,-95.0609952,0.00053897613943,1.9846687839,337.72209493,174.98554141,-2.623516184,0.0025694258753,337.72209493,174.98554141,17.129505835,8.8753916246,17.151550102,8.8868135244,2217323.0018,2217323.0018,6073.40333,0.938065,2.623516184,2.623516184,2.623516184
71,50.0,150.0,50.0,19.3,12.0998,200000.0,188402.0,188402.0,0.94201,398.26259167,206.35367444,397.06198461,205.73159824,391.35511529,202.77467113,206.5,169.9,-0.070859834277,-95.311564569,0.00052262395611,1.9163958951,327.67464564,169.77960914,-0.070859834277,0.0023060561951,327.67464564,169.77960914,15.373707968,7.9656517967,15.391461584,7.9748505617,2279626.5196,2279626.5196,5580.56375,0.94201,0.070859834277,0.070859834277,0.070859834277
322,50.0,2000.0,50.0,19.3,15.0,200000.0,117051.0,117051.0,0.585255,267.85381465,138.78435992,266.78808077,138.2321662,261.09502286,135.28239526,138.9,117.2,-0.083254197648,-90.586768609,0.0011016614384,0.48765840142,226.00768234,117.10242608,-0.083254197648,0.042584705757,226.00768234,117.10242608,21.292352878,11.032307191,21.759013691,11.274100358,1755765.0,1755765.0,127754.11727,0.585255,0.083254197648,0.083254197648,0.083254197648
6,50.0,100.0,50.0,19.3,15.8,200000.0,195301.0,195301.0,0.976505,237.75408351,123.1886443,233.55054405,121.01064459,228.11332547,118.19343288,127.1928,107.5632,-3.1480993382,-88.584129079,0.00033869591801,1.7971245714,201.06161697,104.17700361,-3.1480993382,0.0023699002816,201.06161697,104.17700361,23.699002816,12.279276071,23.7271294,12.29384943,3085755.8,3085755.8,7488.88489,0.976505,3.1480993382,3.1480993382,3.1480993382
223,50.0,1000.0,50.0,19.3,20.0,200000.0,176175.0,176175.0,0.880875,126.83954733,65.719972712,126.99347677,65.799728899,122.76597332,63.609312599,65.73,56.97,-0.015255268272,-90.489088153,0.0007243418888,0.4260612211,109.93532651,56.961309074,-0.015255268272,0.010457447305,109.93532651,56.961309074,10.457447305,5.4183664793,10.512510625,5.4468966967,3523500.0,3523500.0,41829.78922,0.880875,0.015255268272,0.015255268272,0.015255268272
74,50.0,150.0,50.0,19.3,25.1,200000.0,197870.0,197872.0,0.98935,71.380780958,36.9848606,70.147470205,36.345839484,66.962167888,34.695423776,43.8,38.0694,-15.559678996,-92.779450068,0.00022952753103,0.8013758655,62.041632479,32.145923564,-15.559678996,0.0007957834004,62.041632479,32.145923564,5.3052226693,2.7488200359,5.307334694,2.7499143492,4966537.0,4966587.2,3994.83267,0.98936,15.559678996,15.559678996,15.559678996
